rank,italian,article,plural,german,pos,example_it,example_de,also
187,spesso,,,oft,adverb,"Vado spesso in piscina.","Ich gehe oft ins Schwimmbad.",
188,subito,,,sofort,adverb,"Vengo subito.","Ich komme sofort.",
189,già,,,schon,adverb,"Ho già mangiato.","Ich habe schon gegessen.",
190,ancora,,,noch,adverb,"Sei ancora in ufficio?","Bist du noch im Büro?",
191,poi,,,dann,adverb,"Prima lavoro, poi esco.","Erst arbeite ich, dann gehe ich aus.",
192,prima,,,vorher,adverb,"Chiamami prima di partire.","Ruf mich an, bevor du abfährst.",
193,dopo,,,nachher,adverb,"Ci vediamo dopo.","Wir sehen uns nachher.",
194,presto,,,früh,adverb,"Domani mi alzo presto.","Morgen stehe ich früh auf.",
195,tardi,,,spät,adverb,"È troppo tardi per uscire.","Es ist zu spät zum Ausgehen.",
196,qui,,,hier,adverb,"Firma qui, per favore.","Unterschreibe bitte hier.",qua
197,lì,,,dort,adverb,"Il bagno è lì a destra.","Die Toilette ist dort rechts.",là
198,dove,,,wo,adverb,"Dove abiti?","Wo wohnst du?",
199,quando,,,wann,adverb,"Quando arriva il treno?","Wann kommt der Zug an?",
200,perché,,,warum; weil,adverb,"Perché non vieni con noi?","Warum kommst du nicht mit uns?",
201,quanto,,,wie viel,adverb,"Quanto costa il biglietto?","Wie viel kostet die Fahrkarte?",
202,bene,,,gut (Adverb),adverb,"Parli molto bene l'italiano.","Du sprichst sehr gut Italienisch.",
203,male,,,schlecht (Adverb),adverb,"Oggi ho dormito male.","Heute habe ich schlecht geschlafen.",
204,insieme,,,zusammen,adverb,"Andiamo insieme al mercato.","Wir gehen zusammen auf den Markt.",
205,forse,,,vielleicht,adverb,"Forse domani piove.","Vielleicht regnet es morgen.",
206,davvero,,,wirklich,adverb,"Sei davvero gentile.","Du bist wirklich nett.",
207,quasi,,,fast,adverb,"È quasi mezzanotte.","Es ist fast Mitternacht.",
208,troppo,,,zu (viel),adverb,"Questo caffè è troppo caldo.","Dieser Kaffee ist zu heiß.",
209,poco,,,wenig,adverb,"Mangio poco a pranzo.","Ich esse mittags wenig.",
210,abbastanza,,,ziemlich; genug,adverb,"Sono abbastanza stanco.","Ich bin ziemlich müde.",
211,così,,,so,adverb,"Non parlare così in fretta.","Sprich nicht so schnell.",
212,anzi,,,im Gegenteil,adverb,"Non mi disturba, anzi.","Es stört mich nicht, im Gegenteil.",
213,soprattutto,,,vor allem,adverb,"Mi piace soprattutto il mare.","Mir gefällt vor allem das Meer.",
214,almeno,,,wenigstens,adverb,"Resta almeno un'ora.","Bleib wenigstens eine Stunde.",
215,volentieri,,,gerne,adverb,"Vengo volentieri alla festa.","Ich komme gerne zur Party.",
216,sì,,,ja,adverb,"Sì, vengo anch'io.","Ja, ich komme auch.",
217,no,,,nein,adverb,"No, grazie, non bevo caffè.","Nein danke, ich trinke keinen Kaffee.",
218,forte,,,stark; laut,adjective,"Il vento è molto forte oggi.","Der Wind ist heute sehr stark.",
219,caldo,,,warm,adjective,"Oggi fa caldo.","Heute ist es warm.",
220,freddo,,,kalt,adjective,"L'acqua è troppo fredda.","Das Wasser ist zu kalt.",
221,contento,,,zufrieden,adjective,"Sono contento del risultato.","Ich bin mit dem Ergebnis zufrieden.",
222,felice,,,glücklich,adjective,"Siamo felici di vederti.","Wir sind glücklich, dich zu sehen.",
223,triste,,,traurig,adjective,"Ho letto una storia triste.","Ich habe eine traurige Geschichte gelesen.",
224,stanco,,,müde,adjective,"Stasera sono stanca.","Heute Abend bin ich müde.",
225,pronto,,,fertig; bereit,adjective,"La cena è pronta.","Das Abendessen ist fertig.",
226,libero,,,frei,adjective,"Domani sono libero.","Morgen habe ich frei.",
227,occupato,,,besetzt,adjective,"Il tavolo vicino alla finestra è occupato.","Der Tisch am Fenster ist besetzt.",
228,aperto,,,geöffnet,adjective,"Il museo è aperto fino alle sette.","Das Museum ist bis sieben geöffnet.",
229,chiuso,,,geschlossen,adjective,"La domenica il negozio è chiuso.","Sonntags ist der Laden geschlossen.",
230,importante,,,wichtig,adjective,"Ho una riunione importante.","Ich habe eine wichtige Besprechung.",
231,possibile,,,möglich,adjective,"È possibile pagare con carta?","Ist es möglich, mit Karte zu zahlen?",
232,sicuro,,,sicher,adjective,"Sei sicuro di questo?","Bist du dir da sicher?",
233,giusto,,,richtig,adjective,"Hai preso la strada giusta.","Du hast den richtigen Weg genommen.",
234,sbagliato,,,falsch,adjective,"Ho fatto il numero sbagliato.","Ich habe die falsche Nummer gewählt.",
235,pieno,,,voll,adjective,"Il treno era pieno di turisti.","Der Zug war voller Touristen.",
236,vuoto,,,leer,adjective,"Il frigorifero è vuoto.","Der Kühlschrank ist leer.",
237,caro,,,teuer; lieb,adjective,"Questo ristorante è troppo caro.","Dieses Restaurant ist zu teuer.",
238,gentile,,,freundlich,adjective,"Il vicino è sempre molto gentile.","Der Nachbar ist immer sehr freundlich.",
239,simpatico,,,sympathisch,adjective,"I tuoi amici sono simpatici.","Deine Freunde sind sympathisch.",
240,bravo,,,tüchtig,adjective,"È un bravo insegnante.","Er ist ein tüchtiger Lehrer.",
241,tavolo,il,tavoli,Tisch,noun,"Abbiamo prenotato un tavolo per due.","Wir haben einen Tisch für zwei reserviert.",
242,sedia,la,sedie,Stuhl,noun,"Prendi una sedia e siediti.","Nimm dir einen Stuhl und setz dich.",
243,porta,la,porte,Tür,noun,"Chiudi la porta a chiave.","Schließ die Tür ab.",
244,finestra,la,finestre,Fenster,noun,"Apri la finestra, fa caldo.","Mach das Fenster auf, es ist warm.",
245,camera,la,camere,Zimmer,noun,"Vorrei una camera doppia.","Ich hätte gern ein Doppelzimmer.",
246,cucina,la,cucine,Küche,noun,"La cucina italiana è famosa.","Die italienische Küche ist berühmt.",
247,bagno,il,bagni,Bad,noun,"Dov'è il bagno, per favore?","Wo ist bitte die Toilette?",
248,letto,il,letti,Bett,noun,"Vado a letto presto stasera.","Ich gehe heute Abend früh ins Bett.",
249,chiave,la,chiavi,Schlüssel,noun,"Ho lasciato le chiavi in macchina.","Ich habe die Schlüssel im Auto gelassen.",
250,telefono,il,telefoni,Telefon,noun,"Il mio telefono è scarico.","Mein Telefon ist leer.",
251,computer,il,computer,Computer,noun,"Il computer non funziona.","Der Computer funktioniert nicht.",
252,giornale,il,giornali,Zeitung,noun,"Compro il giornale ogni domenica.","Ich kaufe jeden Sonntag die Zeitung.",
253,film,il,film,Film,noun,"Il film dura due ore.","Der Film dauert zwei Stunden.",
254,musica,la,musiche,Musik,noun,"Ascolto musica mentre corro.","Ich höre Musik, während ich laufe.",
255,canzone,la,canzoni,Lied,noun,"Questa canzone mi piace molto.","Dieses Lied gefällt mir sehr.",
256,foto,la,foto,Foto,noun,"Ti mando una foto del mare.","Ich schicke dir ein Foto vom Meer.",
257,festa,la,feste,Fest,noun,"Sabato c'è una festa in giardino.","Am Samstag gibt es ein Fest im Garten.",
258,regalo,il,regali,Geschenk,noun,"Ho comprato un regalo per lei.","Ich habe ein Geschenk für sie gekauft.",
259,negozio,il,negozi,Geschäft,noun,"Il negozio chiude alle otto.","Das Geschäft schließt um acht.",
260,mercato,il,mercati,Markt,noun,"Il mercato è aperto il martedì.","Der Markt ist dienstags geöffnet.",
261,banca,la,banche,Bank (Geldinstitut),noun,"La banca apre alle otto e mezza.","Die Bank öffnet um halb neun.",
262,ufficio,lo,uffici,Büro,noun,"Il mio ufficio è al terzo piano.","Mein Büro ist im dritten Stock.",
263,stazione,la,stazioni,Bahnhof,noun,"Ci vediamo alla stazione.","Wir treffen uns am Bahnhof.",
264,aeroporto,lo,aeroporti,Flughafen,noun,"L'aeroporto è fuori città.","Der Flughafen liegt außerhalb der Stadt.",
265,albergo,lo,alberghi,Hotel,noun,"Abbiamo prenotato un albergo in centro.","Wir haben ein Hotel im Zentrum gebucht.",hotel
266,ristorante,il,ristoranti,Restaurant,noun,"Conosco un buon ristorante qui vicino.","Ich kenne ein gutes Restaurant hier in der Nähe.",
267,piazza,la,piazze,Platz (in der Stadt),noun,"La piazza è piena di gente.","Der Platz ist voller Leute.",
268,chiesa,la,chiese,Kirche,noun,"La chiesa è del Quattrocento.","Die Kirche stammt aus dem 15. Jahrhundert.",
269,museo,il,musei,Museum,noun,"Il museo è gratis la domenica.","Das Museum ist sonntags kostenlos.",
270,parco,il,parchi,Park,noun,"Facciamo una passeggiata nel parco.","Machen wir einen Spaziergang im Park.",
271,giardino,il,giardini,Garten,noun,"Dietro casa c'è un piccolo giardino.","Hinter dem Haus ist ein kleiner Garten.",
272,montagna,la,montagne,Berg,noun,"D'inverno andiamo in montagna.","Im Winter fahren wir in die Berge.",
273,lago,il,laghi,See,noun,"Il lago di Como è vicino a Milano.","Der Comer See liegt nahe bei Mailand.",
274,fiume,il,fiumi,Fluss,noun,"Il fiume passa dietro il paese.","Der Fluss fließt hinter dem Dorf vorbei.",
275,albero,lo,alberi,Baum,noun,"C'è un albero davanti alla finestra.","Vor dem Fenster steht ein Baum.",
276,fiore,il,fiori,Blume,noun,"Ho comprato dei fiori per la nonna.","Ich habe Blumen für die Oma gekauft.",
277,animale,lo,animali,Tier,noun,"Nel parco ci sono molti animali.","Im Park gibt es viele Tiere.",
278,cane,il,cani,Hund,noun,"Il cane dorme sul divano.","Der Hund schläft auf dem Sofa.",
279,gatto,il,gatti,Katze,noun,"Il gatto è sotto il tavolo.","Die Katze ist unter dem Tisch.",
280,sole,il,soli,Sonne,noun,"Oggi c'è il sole.","Heute scheint die Sonne.",
281,pioggia,la,piogge,Regen,noun,"Dopo la pioggia è uscito il sole.","Nach dem Regen kam die Sonne heraus.",
282,neve,la,nevi,Schnee,noun,"In montagna c'è ancora la neve.","In den Bergen liegt noch Schnee.",
