rank,italian,article,plural,german,pos,example_it,example_de,also
32,giovedì,il,giovedì,Donnerstag,noun,"Giovedì sera gioco a calcio.","Donnerstagabend spiele ich Fußball.",
33,venerdì,il,venerdì,Freitag,noun,"Venerdì finisco prima.","Freitags habe ich früher Schluss.",
34,sabato,il,sabati,Samstag,noun,"Sabato andiamo al mare.","Am Samstag fahren wir ans Meer.",
35,domenica,la,domeniche,Sonntag,noun,"La domenica pranziamo dai nonni.","Sonntags essen wir bei den Großeltern.",
36,fine settimana,il,fine settimana,Wochenende,noun,"Che fai questo fine settimana?","Was machst du dieses Wochenende?",weekend
37,gennaio,,,Januar,other,"Gennaio è il mese più freddo.","Januar ist der kälteste Monat.",
38,febbraio,,,Februar,other,"Febbraio ha ventotto giorni.","Februar hat achtundzwanzig Tage.",
39,marzo,,,März,other,"In marzo comincia la primavera.","Im März beginnt der Frühling.",
40,aprile,,,April,other,"Ad aprile piove spesso.","Im April regnet es oft.",
41,maggio,,,Mai,other,"Maggio è il mese dei fiori.","Der Mai ist der Monat der Blumen.",
42,giugno,,,Juni,other,"A giugno finisce la scuola.","Im Juni endet die Schule.",
43,luglio,,,Juli,other,"In luglio fa molto caldo.","Im Juli ist es sehr heiß.",
44,agosto,,,August,other,"Ad agosto tutti vanno in vacanza.","Im August fahren alle in den Urlaub.",
45,settembre,,,September,other,"A settembre torniamo al lavoro.","Im September geht es zurück an die Arbeit.",
46,ottobre,,,Oktober,other,"In ottobre cadono le foglie.","Im Oktober fallen die Blätter.",
47,novembre,,,November,other,"Novembre è un mese grigio.","November ist ein grauer Monat.",
48,dicembre,,,Dezember,other,"A dicembre nevica in montagna.","Im Dezember schneit es in den Bergen.",
49,stagione,la,stagioni,Jahreszeit,noun,"Qual è la tua stagione preferita?","Welches ist deine Lieblingsjahreszeit?",
50,primavera,la,primavere,Frühling,noun,"In primavera i giardini sono belli.","Im Frühling sind die Gärten schön.",
51,estate,la,estati,Sommer,noun,"L'estate qui è lunga e calda.","Der Sommer ist hier lang und heiß.",
52,autunno,lo,autunni,Herbst,noun,"L'autunno porta la pioggia.","Der Herbst bringt den Regen.",
53,inverno,lo,inverni,Winter,noun,"L'inverno scorso ha nevicato poco.","Letzten Winter hat es wenig geschneit.",
54,oggi,,,heute,adverb,"Oggi ho molto da fare.","Heute habe ich viel zu tun.",
55,domani,,,morgen,adverb,"Domani ti chiamo.","Morgen rufe ich dich an.",
56,ieri,,,gestern,adverb,"Ieri sono rimasto a casa.","Gestern bin ich zu Hause geblieben.",
57,dopodomani,,,übermorgen,adverb,"Dopodomani parto per Roma.","Übermorgen fahre ich nach Rom.",
58,avantieri,,,vorgestern,adverb,"Avantieri ho visto Maria.","Vorgestern habe ich Maria gesehen.",l'altro ieri
59,stamattina,,,heute Morgen,adverb,"Stamattina ho perso l'autobus.","Heute Morgen habe ich den Bus verpasst.",
60,stasera,,,heute Abend,adverb,"Stasera restiamo a casa.","Heute Abend bleiben wir zu Hause.",
61,stanotte,,,heute Nacht,adverb,"Stanotte ho dormito poco.","Heute Nacht habe ich wenig geschlafen.",
62,adesso,,,jetzt,adverb,"Adesso non posso parlare.","Jetzt kann ich nicht sprechen.",ora
63,subito,,,sofort,adverb,"Vengo subito.","Ich komme sofort.",
64,presto,,,früh,adverb,"Mi sveglio sempre presto.","Ich wache immer früh auf.",
65,tardi,,,spät,adverb,"È tardi, andiamo a dormire.","Es ist spät, gehen wir schlafen.",
66,prima,,,vorher,adverb,"Chiamami prima, per favore.","Ruf mich bitte vorher an.",
67,dopo,,,nachher,adverb,"Ne parliamo dopo.","Wir reden nachher darüber.",
68,poi,,,dann,adverb,"Finisco questo e poi esco.","Ich mache das fertig und gehe dann.",
69,ancora,,,noch,adverb,"Hai ancora dieci minuti.","Du hast noch zehn Minuten.",
70,già,,,schon,adverb,"È già mezzogiorno.","Es ist schon Mittag.",
71,sempre,,,immer,adverb,"Il negozio è sempre aperto.","Das Geschäft ist immer geöffnet.",
72,mai,,,nie,adverb,"Non arriva mai in orario.","Er kommt nie pünktlich.",
73,spesso,,,oft,adverb,"Ci vediamo spesso il sabato.","Wir sehen uns oft samstags.",
74,raramente,,,selten,adverb,"Raramente esco durante la settimana.","Unter der Woche gehe ich selten aus.",
75,finora,,,bisher,adverb,"Finora tutto bene.","Bisher ist alles gut.",
76,intanto,,,inzwischen,adverb,"Intanto preparo il caffè.","Inzwischen mache ich den Kaffee.",
77,di solito,,,gewöhnlich,other,"Di solito ceno alle otto.","Gewöhnlich esse ich um acht zu Abend.",
78,ogni tanto,,,ab und zu,other,"Ogni tanto vado in piscina.","Ab und zu gehe ich ins Schwimmbad.",
79,di nuovo,,,wieder,other,"Ha telefonato di nuovo.","Er hat wieder angerufen.",
80,fino a,,,bis,other,"Lavoro fino alle sei.","Ich arbeite bis sechs.",
81,durante,,,während (Präposition),preposition,"Durante la settimana lavoro molto.","Unter der Woche arbeite ich viel.",
82,fra,,,in (zeitlich),preposition,"Il treno parte fra dieci minuti.","Der Zug fährt in zehn Minuten ab.",tra
83,verso,,,gegen (Uhrzeit),preposition,"Arriviamo verso le nove.","Wir kommen gegen neun an.",
84,da,,,seit,preposition,"Aspetto da mezz'ora.","Ich warte seit einer halben Stunde.",
85,scorso,,,vergangener,adjective,"La settimana scorsa ero in ferie.","Letzte Woche war ich im Urlaub.",
86,prossimo,,,nächster,adjective,"Il mese prossimo comincio il corso.","Nächsten Monat beginne ich den Kurs.",
87,puntuale,,,pünktlich,adjective,"È sempre puntuale agli appuntamenti.","Er ist bei Terminen immer pünktlich.",
88,quotidiano,,,täglich,adjective,"È il mio giro quotidiano.","Das ist meine tägliche Runde.",
89,settimanale,,,wöchentlich,adjective,"Abbiamo una riunione settimanale.","Wir haben eine wöchentliche Besprechung.",
90,mensile,,,monatlich,adjective,"L'abbonamento mensile costa meno.","Das Monatsabo kostet weniger.",
91,annuale,,,jährlich,adjective,"È una festa annuale.","Es ist ein jährliches Fest.",
92,in ritardo,,,zu spät,other,"Scusa, sono in ritardo.","Entschuldigung, ich bin zu spät.",
93,in anticipo,,,zu früh,other,"Sei arrivato in anticipo.","Du bist zu früh gekommen.",
94,in punto,,,genau (Uhrzeit),other,"Ci vediamo alle otto in punto.","Wir sehen uns Punkt acht.",
95,che ore sono,,,wie spät ist es,other,"Scusi, che ore sono?","Entschuldigung, wie spät ist es?",
96,a che ora,,,um wie viel Uhr,other,"A che ora comincia il film?","Um wie viel Uhr beginnt der Film?",
97,compleanno,il,compleanni,Geburtstag,noun,"Il mio compleanno è in marzo.","Mein Geburtstag ist im März.",
98,festa,la,feste,Feiertag,noun,"Domani è festa, tutto è chiuso.","Morgen ist Feiertag, alles ist geschlossen.",
99,vacanza,la,vacanze,Urlaub,noun,"Le vacanze cominciano venerdì.","Der Urlaub beginnt am Freitag.",
100,appuntamento,lo,appuntamenti,Termin,noun,"Ho un appuntamento dal medico.","Ich habe einen Termin beim Arzt.",
101,passato,il,passati,Vergangenheit,noun,"Non parliamo del passato.","Reden wir nicht über die Vergangenheit.",
102,presente,il,presenti,Gegenwart,noun,"Viviamo nel presente.","Wir leben in der Gegenwart.",
103,futuro,il,futuri,Zukunft,noun,"Nel futuro tutto sarà diverso.","In Zukunft wird alles anders sein.",
104,secolo,il,secoli,Jahrhundert,noun,"La chiesa è del secolo scorso.","Die Kirche stammt aus dem letzten Jahrhundert.",
105,decennio,il,decenni,Jahrzehnt,noun,"È cambiato tutto in un decennio.","In einem Jahrzehnt hat sich alles verändert.",
106,epoca,la,epoche,Epoche,noun,"In quell'epoca non c'erano telefoni.","In jener Epoche gab es keine Telefone.",
107,durata,la,durate,Dauer,noun,"Qual è la durata del volo?","Wie lang ist die Flugdauer?",
108,inizio,lo,inizi,Anfang,noun,"All'inizio non capivo niente.","Am Anfang habe ich nichts verstanden.",
109,fine,la,fini,Ende,noun,"Alla fine siamo rimasti a casa.","Am Ende sind wir zu Hause geblieben.",
110,aspettare,,,warten,verb,"Ti aspetto alle otto.","Ich warte um acht auf dich.",
111,durare,,,dauern,verb,"Quanto dura il viaggio?","Wie lange dauert die Reise?",
112,cominciare,,,anfangen,verb,"Il concerto comincia alle nove.","Das Konzert fängt um neun an.",iniziare
113,finire,,,beenden,verb,"Finisco alle cinque.","Ich höre um fünf auf.",
114,passare,,,vergehen,verb,"L'estate passa troppo in fretta.","Der Sommer vergeht zu schnell.",
115,svegliarsi,,,aufwachen,verb,"Mi sveglio alle sei ogni giorno.","Ich wache jeden Tag um sechs auf.",
116,alzarsi,,,aufstehen,verb,"Mi alzo mezz'ora dopo la sveglia.","Ich stehe eine halbe Stunde nach dem Wecker auf.",
117,rimandare,,,verschieben,verb,"Rimandiamo la riunione a lunedì.","Verschieben wir die Besprechung auf Montag.",
118,affrettarsi,,,sich beeilen,verb,"Affrettati, il treno parte!","Beeil dich, der Zug fährt!",sbrigarsi
119,tardare,,,sich verspäten,verb,"Non tardare, ti aspettiamo.","Verspäte dich nicht, wir warten auf dich.",
120,presto o tardi,,,früher oder später,other,"Presto o tardi arriverà.","Früher oder später wird er kommen.",
