rank,italian,article,plural,german,pos,example_it,example_de,also
51,centesimo,,,hundertster,numeral,"È il centesimo cliente del giorno.","Er ist der hundertste Kunde des Tages.",
52,ultimo,,,letzter,numeral,"Prendo l'ultimo treno.","Ich nehme den letzten Zug.",
53,mezzo,,,halb,adjective,"Vorrei mezzo litro di latte.","Ich hätte gern einen halben Liter Milch.",
54,doppio,,,doppelt,adjective,"Ha pagato il doppio prezzo.","Er hat den doppelten Preis bezahlt.",
55,metà,la,metà,Hälfte,noun,"Ti do la metà della torta.","Ich gebe dir die Hälfte des Kuchens.",
56,quarto,il,quarti,Viertel,noun,"Manca un quarto d'ora.","Es fehlt eine Viertelstunde.",
57,terzo,il,terzi,Drittel,noun,"Un terzo della classe è assente.","Ein Drittel der Klasse fehlt.",
58,paio,il,paia,Paar,noun,"Ho comprato un paio di scarpe.","Ich habe ein Paar Schuhe gekauft.",
59,dozzina,la,dozzine,Dutzend,noun,"Prendo una dozzina di uova.","Ich nehme ein Dutzend Eier.",
60,decina,la,decine,Zehnergruppe,noun,"C'erano decine di persone in fila.","Es standen Dutzende Leute in der Schlange.",
61,centinaio,il,centinaia,Hundertschaft,noun,"Ho ricevuto un centinaio di messaggi.","Ich habe an die hundert Nachrichten bekommen.",
62,numero,il,numeri,Nummer,noun,"Qual è il tuo numero di telefono?","Wie ist deine Telefonnummer?",
63,cifra,la,cifre,Ziffer,noun,"Il codice ha quattro cifre.","Der Code hat vier Ziffern.",
64,somma,la,somme,Summe,noun,"La somma non è corretta.","Die Summe stimmt nicht.",
65,totale,il,totali,Gesamtbetrag,noun,"Il totale fa trenta euro.","Der Gesamtbetrag macht dreißig Euro.",
66,risultato,il,risultati,Ergebnis,noun,"Il risultato è sempre lo stesso.","Das Ergebnis ist immer dasselbe.",
67,percentuale,la,percentuali,Prozentsatz,noun,"La percentuale è salita al dieci per cento.","Der Prozentsatz ist auf zehn Prozent gestiegen.",
68,per cento,,,Prozent,other,"Lo sconto è del venti per cento.","Der Rabatt beträgt zwanzig Prozent.",
69,più,,,plus,other,"Due più due fa quattro.","Zwei plus zwei ist vier.",
70,meno,,,minus,other,"Dieci meno tre fa sette.","Zehn minus drei ist sieben.",
71,per,,,mal,other,"Tre per quattro fa dodici.","Drei mal vier ist zwölf.",
72,diviso,,,geteilt durch,other,"Dieci diviso due fa cinque.","Zehn geteilt durch zwei ist fünf.",
73,contare,,,zählen,verb,"I bambini imparano a contare.","Die Kinder lernen zählen.",
74,calcolare,,,berechnen,verb,"Calcolo il prezzo con lo sconto.","Ich berechne den Preis mit dem Rabatt.",
75,aggiungere,,,hinzufügen,verb,"Aggiungi due cucchiai di zucchero.","Gib zwei Löffel Zucker hinzu.",
76,dividere,,,teilen,verb,"Dividiamo il conto in tre.","Wir teilen die Rechnung durch drei.",
77,pesare,,,wiegen,verb,"La valigia pesa venti chili.","Der Koffer wiegt zwanzig Kilo.",
78,misurare,,,messen,verb,"Misuro la stanza con il metro.","Ich messe das Zimmer mit dem Maßband.",
79,valere,,,wert sein,verb,"Questa moneta vale poco.","Diese Münze ist wenig wert.",
80,chilo,il,chili,Kilo,noun,"Vorrei un chilo di pomodori.","Ich hätte gern ein Kilo Tomaten.",
81,grammo,il,grammi,Gramm,noun,"Servono duecento grammi di farina.","Man braucht zweihundert Gramm Mehl.",
82,litro,il,litri,Liter,noun,"Compro due litri di latte.","Ich kaufe zwei Liter Milch.",
83,metro,il,metri,Meter,noun,"La stanza è lunga cinque metri.","Das Zimmer ist fünf Meter lang.",
84,centimetro,il,centimetri,Zentimeter,noun,"Mancano due centimetri.","Es fehlen zwei Zentimeter.",
85,chilometro,il,chilometri,Kilometer,noun,"Il mare è a dieci chilometri.","Das Meer ist zehn Kilometer entfernt.",
86,peso,il,pesi,Gewicht,noun,"Qual è il peso della valigia?","Wie hoch ist das Gewicht des Koffers?",
87,misura,la,misure,Maß,noun,"Che misura porti di scarpe?","Welche Schuhgröße hast du?",
88,altezza,la,altezze,Höhe,noun,"L'altezza del muro è due metri.","Die Höhe der Mauer beträgt zwei Meter.",
89,lunghezza,la,lunghezze,Länge,noun,"La lunghezza del tavolo è giusta.","Die Länge des Tisches passt.",
90,larghezza,la,larghezze,Breite,noun,"Misuriamo la larghezza della porta.","Messen wir die Breite der Tür.",
91,quantità,la,quantità,Menge,noun,"Una piccola quantità di sale basta.","Eine kleine Menge Salz genügt.",
92,età,la,età,Alter,noun,"Alla tua età correvo ogni giorno.","In deinem Alter bin ich jeden Tag gelaufen.",
93,grado,il,gradi,Grad,noun,"Oggi ci sono trenta gradi.","Heute sind es dreißig Grad.",
94,euro,lo,euro,Euro,noun,"Il caffè costa un euro e venti.","Der Kaffee kostet einen Euro zwanzig.",
95,moneta,la,monete,Münze,noun,"Ho solo monete da un euro.","Ich habe nur Ein-Euro-Münzen.",
96,banconota,la,banconote,Geldschein,noun,"Ha pagato con una banconota da cinquanta.","Er hat mit einem Fünfzigerschein bezahlt.",
97,sconto,lo,sconti,Rabatt,noun,"Mi fa uno sconto?","Geben Sie mir einen Rabatt?",
98,resto,il,resti,Wechselgeld,noun,"Tenga pure il resto.","Behalten Sie das Wechselgeld.",
99,molto,,,viel,adjective,"Non ho molto tempo oggi.","Ich habe heute nicht viel Zeit.",
100,poco,,,wenig,adjective,"Resta poco pane.","Es ist wenig Brot übrig.",
101,tanto,,,so viel,adjective,"Non serve tanto zucchero.","Man braucht nicht so viel Zucker.",
102,troppo,,,zu viel,adjective,"C'è troppo sale nella minestra.","In der Suppe ist zu viel Salz.",
103,qualche,,,einige,adjective,"Resto ancora qualche giorno.","Ich bleibe noch einige Tage.",
104,alcuni,,,manche,pronoun,"Alcuni preferiscono il tè.","Manche bevorzugen Tee.",
105,ogni,,,jeder,adjective,"Ogni camera ha il bagno.","Jedes Zimmer hat ein Bad.",
106,entrambi,,,beide,pronoun,"Entrambi parlano italiano.","Beide sprechen Italienisch.",
107,abbastanza,,,genug,adverb,"Abbiamo abbastanza sedie.","Wir haben genug Stühle.",
108,circa,,,ungefähr,adverb,"Il viaggio dura circa tre ore.","Die Reise dauert ungefähr drei Stunden.",
109,almeno,,,mindestens,adverb,"Servono almeno cinque persone.","Man braucht mindestens fünf Personen.",
110,esattamente,,,genau,adverb,"Sono esattamente le otto.","Es ist genau acht Uhr.",
111,quasi,,,fast,adverb,"Il serbatoio è quasi vuoto.","Der Tank ist fast leer.",
112,solo,,,nur,adverb,"Ho solo dieci euro.","Ich habe nur zehn Euro.",
113,massimo,,,höchster,adjective,"La velocità massima è cento.","Die Höchstgeschwindigkeit ist hundert.",
114,minimo,,,niedrigster,adjective,"Il prezzo minimo è dieci euro.","Der Mindestpreis ist zehn Euro.",
115,pari,,,gerade (Zahl),adjective,"Due e quattro sono numeri pari.","Zwei und vier sind gerade Zahlen.",
116,dispari,,,ungerade,adjective,"Tre è un numero dispari.","Drei ist eine ungerade Zahl.",
