rank,italian,article,plural,german,pos,example_it,example_de,also
21,antipasto,lo,antipasti,Vorspeise,noun,"Come antipasto prendo il prosciutto.","Als Vorspeise nehme ich den Schinken.",
22,primo,il,primi,erster Gang,noun,"Come primo vorrei la pasta.","Als ersten Gang hätte ich gern Nudeln.",
23,secondo,il,secondi,zweiter Gang,noun,"Il secondo è carne o pesce.","Der zweite Gang ist Fleisch oder Fisch.",
24,contorno,il,contorni,Beilage,noun,"Come contorno prendo l'insalata.","Als Beilage nehme ich den Salat.",
25,dolce,il,dolci,Nachtisch,noun,"Prendiamo un dolce?","Nehmen wir einen Nachtisch?",
26,specialità,la,specialità,Spezialität,noun,"Qual è la specialità della casa?","Was ist die Spezialität des Hauses?",
27,ricetta,la,ricette,Rezept,noun,"È una ricetta di mia nonna.","Es ist ein Rezept meiner Großmutter.",
28,porzione,la,porzioni,Portion,noun,"La porzione è abbastanza grande.","Die Portion ist ziemlich groß.",
29,acqua,la,acque,Wasser,noun,"Una bottiglia d'acqua naturale, grazie.","Eine Flasche stilles Wasser, danke.",
30,vino,il,vini,Wein,noun,"Questo vino è del posto.","Dieser Wein ist von hier.",
31,birra,la,birre,Bier,noun,"Una birra piccola, per favore.","Ein kleines Bier, bitte.",
32,caffè,il,caffè,Kaffee,noun,"Un caffè dopo pranzo è d'obbligo.","Ein Kaffee nach dem Essen gehört dazu.",
33,cappuccino,il,cappuccini,Cappuccino,noun,"Il cappuccino si beve la mattina.","Cappuccino trinkt man morgens.",
34,tè,il,tè,Tee,noun,"Preferisco il tè al caffè.","Ich mag Tee lieber als Kaffee.",
35,latte,il,,Milch,noun,"Un caffè con un po' di latte.","Ein Kaffee mit etwas Milch.",
36,succo,il,succhi,Saft,noun,"Un succo di mela, per favore.","Einen Apfelsaft, bitte.",
37,spremuta,la,spremute,frisch gepresster Saft,noun,"Vorrei una spremuta d'arancia.","Ich hätte gern einen frisch gepressten Orangensaft.",
38,bibita,la,bibite,Erfrischungsgetränk,noun,"Le bibite sono nel frigorifero.","Die Erfrischungsgetränke sind im Kühlschrank.",
39,bottiglia,la,bottiglie,Flasche,noun,"Apriamo una bottiglia di rosso.","Machen wir eine Flasche Rotwein auf.",
40,bicchiere,il,bicchieri,Glas (Trinkglas),noun,"Mi porta un altro bicchiere?","Bringen Sie mir noch ein Glas?",
41,tazza,la,tazze,Tasse,noun,"Bevo una tazza di tè la sera.","Ich trinke abends eine Tasse Tee.",
42,ghiaccio,il,ghiacci,Eis (gefrorenes Wasser),noun,"Vorrei l'acqua senza ghiaccio.","Ich hätte das Wasser gern ohne Eis.",
43,gelato,il,gelati,Speiseeis,noun,"Prendiamo un gelato in piazza.","Holen wir uns ein Eis auf dem Platz.",
44,aperitivo,lo,aperitivi,Aperitif,noun,"Ci vediamo per un aperitivo alle sei.","Wir treffen uns um sechs auf einen Aperitif.",
45,brindisi,il,brindisi,Trinkspruch,noun,"Facciamo un brindisi agli sposi!","Bringen wir einen Trinkspruch auf das Brautpaar aus!",
46,pane,il,pani,Brot,noun,"Il pane è ancora caldo.","Das Brot ist noch warm.",
47,pasta,la,paste,Nudeln,noun,"La pasta va cotta al dente.","Nudeln müssen bissfest gekocht werden.",
48,riso,il,risi,Reis,noun,"Il riso cuoce in venti minuti.","Der Reis braucht zwanzig Minuten.",
49,pizza,la,pizze,Pizza,noun,"La pizza margherita è la più semplice.","Die Pizza Margherita ist die einfachste.",
50,carne,la,carni,Fleisch,noun,"Non mangio carne di maiale.","Ich esse kein Schweinefleisch.",
51,pesce,il,pesci,Fisch,noun,"Il pesce è pescato oggi.","Der Fisch ist von heute.",
52,pollo,il,polli,Hähnchen,noun,"Il pollo arrosto è la specialità.","Das Brathähnchen ist die Spezialität.",
53,manzo,il,manzi,Rindfleisch,noun,"Vorrei una bistecca di manzo.","Ich hätte gern ein Rindersteak.",
54,maiale,il,maiali,Schwein,noun,"Il maiale è troppo grasso per me.","Schweinefleisch ist mir zu fett.",
55,prosciutto,il,prosciutti,Schinken,noun,"Un panino con prosciutto e formaggio.","Ein Brötchen mit Schinken und Käse.",
56,salame,il,salami,Salami,noun,"Il salame di questo paese è famoso.","Die Salami dieses Dorfes ist berühmt.",
57,formaggio,il,formaggi,Käse,noun,"Che formaggio mi consiglia?","Welchen Käse empfehlen Sie mir?",
58,mozzarella,la,mozzarelle,Mozzarella,noun,"La mozzarella è di bufala.","Die Mozzarella ist aus Büffelmilch.",
59,uovo,lo,uova,Ei,noun,"Vorrei un uovo alla coque.","Ich hätte gern ein weiches Ei.",
60,burro,il,burri,Butter,noun,"Metto un po' di burro nella pentola.","Ich gebe etwas Butter in den Topf.",
61,olio,lo,oli,Öl,noun,"L'olio d'oliva è buonissimo qui.","Das Olivenöl ist hier sehr gut.",
62,aceto,lo,aceti,Essig,noun,"Condisco l'insalata con aceto.","Ich mache den Salat mit Essig an.",
63,sale,il,sali,Salz,noun,"Manca il sale nella minestra.","In der Suppe fehlt das Salz.",
64,pepe,il,pepi,Pfeffer,noun,"Un po' di pepe, per favore.","Etwas Pfeffer, bitte.",
65,zucchero,lo,zuccheri,Zucker,noun,"Bevo il tè senza zucchero.","Ich trinke den Tee ohne Zucker.",
66,farina,la,farine,Mehl,noun,"Per la pizza serve farina buona.","Für die Pizza braucht man gutes Mehl.",
67,minestra,la,minestre,Suppe,noun,"La minestra è troppo calda.","Die Suppe ist zu heiß.",zuppa
68,panino,il,panini,belegtes Brötchen,noun,"Mangio un panino in treno.","Ich esse ein belegtes Brötchen im Zug.",
69,torta,la,torte,Kuchen,noun,"Ho fatto una torta di mele.","Ich habe einen Apfelkuchen gebacken.",
70,biscotto,il,biscotti,Keks,noun,"Prendo due biscotti con il caffè.","Ich nehme zwei Kekse zum Kaffee.",
71,cioccolato,il,cioccolati,Schokolade,noun,"Il cioccolato fondente è amaro.","Zartbitterschokolade ist bitter.",
72,pomodoro,il,pomodori,Tomate,noun,"I pomodori sono maturi.","Die Tomaten sind reif.",
73,patata,la,patate,Kartoffel,noun,"Le patate al forno sono pronte.","Die Ofenkartoffeln sind fertig.",
74,cipolla,la,cipolle,Zwiebel,noun,"Taglio la cipolla a fettine.","Ich schneide die Zwiebel in Scheiben.",
75,aglio,lo,agli,Knoblauch,noun,"Metto uno spicchio d'aglio.","Ich nehme eine Knoblauchzehe.",
76,insalata,la,insalate,Salat,noun,"Prendo un'insalata mista.","Ich nehme einen gemischten Salat.",
77,verdura,la,verdure,Gemüse,noun,"Compro la verdura al mercato.","Ich kaufe das Gemüse auf dem Markt.",
78,fungo,il,funghi,Pilz,noun,"I funghi crescono nel bosco.","Die Pilze wachsen im Wald.",
79,zucchina,la,zucchine,Zucchini,noun,"Le zucchine sono fresche.","Die Zucchini sind frisch.",
80,melanzana,la,melanzane,Aubergine,noun,"La melanzana si cuoce al forno.","Die Aubergine wird im Ofen gegart.",
81,peperone,il,peperoni,Paprika,noun,"Il peperone rosso è dolce.","Die rote Paprika ist süß.",
82,carota,la,carote,Karotte,noun,"Le carote sono buone crude.","Karotten schmecken roh gut.",
83,limone,il,limoni,Zitrone,noun,"Un tè al limone, grazie.","Einen Tee mit Zitrone, danke.",
84,arancia,la,arance,Orange,noun,"Le arance siciliane sono dolci.","Die sizilianischen Orangen sind süß.",
85,mela,la,mele,Apfel,noun,"Mangio una mela ogni giorno.","Ich esse jeden Tag einen Apfel.",
86,pera,la,pere,Birne,noun,"Le pere sono ancora dure.","Die Birnen sind noch hart.",
87,uva,la,uve,Trauben,noun,"L'uva di settembre è la migliore.","Die Trauben im September sind die besten.",
88,fragola,la,fragole,Erdbeere,noun,"A giugno compro le fragole.","Im Juni kaufe ich Erdbeeren.",
89,pesca,la,pesche,Pfirsich,noun,"Questa pesca è molto matura.","Dieser Pfirsich ist sehr reif.",
90,frutta,la,,Obst,noun,"Dopo cena mangio frutta.","Nach dem Abendessen esse ich Obst.",
91,tavola,la,tavole,Esstisch,noun,"A tavola si parla di tutto.","Am Esstisch wird über alles geredet.",
92,piatto,il,piatti,Teller,noun,"Il piatto è ancora sporco.","Der Teller ist noch schmutzig.",
93,forchetta,la,forchette,Gabel,noun,"Mi manca la forchetta.","Mir fehlt die Gabel.",
94,coltello,il,coltelli,Messer,noun,"Questo coltello non taglia bene.","Dieses Messer schneidet nicht gut.",
95,cucchiaio,il,cucchiai,Löffel,noun,"Aggiungi un cucchiaio di olio.","Gib einen Löffel Öl dazu.",
96,tovagliolo,il,tovaglioli,Serviette,noun,"Mi passi un tovagliolo?","Reichst du mir eine Serviette?",
97,tovaglia,la,tovaglie,Tischdecke,noun,"La tovaglia è bianca.","Die Tischdecke ist weiß.",
98,pentola,la,pentole,Topf,noun,"L'acqua bolle nella pentola.","Das Wasser kocht im Topf.",
99,padella,la,padelle,Pfanne,noun,"Scaldo l'olio nella padella.","Ich erhitze das Öl in der Pfanne.",
100,forno,il,forni,Backofen,noun,"La pizza cuoce nel forno a legna.","Die Pizza backt im Holzofen.",
101,frigorifero,il,frigoriferi,Kühlschrank,noun,"Il latte è nel frigorifero.","Die Milch ist im Kühlschrank.",frigo
102,fornello,il,fornelli,Herdplatte,noun,"Metti la pentola sul fornello.","Stell den Topf auf die Herdplatte.",
103,cucinare,,,kochen,verb,"Cucino quasi ogni sera.","Ich koche fast jeden Abend.",
104,cuocere,,,garen,verb,"La pasta cuoce otto minuti.","Die Nudeln garen acht Minuten.",
105,friggere,,,braten,verb,"Friggo le patate in padella.","Ich brate die Kartoffeln in der Pfanne.",
106,bollire,,,sieden,verb,"Fai bollire l'acqua per il tè.","Lass das Wasser für den Tee sieden.",
107,tagliare,,,schneiden,verb,"Taglio il pane a fette.","Ich schneide das Brot in Scheiben.",
108,mescolare,,,umrühren,verb,"Mescola bene la salsa.","Rühr die Soße gut um.",
109,assaggiare,,,probieren,verb,"Vuoi assaggiare il vino?","Möchtest du den Wein probieren?",
110,servire,,,servieren,verb,"Serviamo la cena alle otto.","Wir servieren das Abendessen um acht.",
111,apparecchiare,,,den Tisch decken,verb,"Apparecchi tu la tavola?","Deckst du den Tisch?",
112,versare,,,eingießen,verb,"Versa il vino nei bicchieri.","Gieß den Wein in die Gläser.",
113,scaldare,,,aufwärmen,verb,"Scaldo la minestra di ieri.","Ich wärme die Suppe von gestern auf.",
114,condire,,,anmachen,verb,"Condisco l'insalata con olio e sale.","Ich mache den Salat mit Öl und Salz an.",
115,avere fame,,,Hunger haben,other,"Ho fame, mangiamo qualcosa.","Ich habe Hunger, essen wir etwas.",
116,avere sete,,,Durst haben,other,"Dopo la corsa ho sete.","Nach dem Laufen habe ich Durst.",
117,buon appetito,,,guten Appetit,other,"Buon appetito a tutti!","Guten Appetit allerseits!",
118,alla salute,,,zum Wohl,other,"Alla salute e a domani!","Zum Wohl und bis morgen!",cin cin
119,vorrei,,,ich hätte gern,other,"Vorrei un tavolo per due.","Ich hätte gern einen Tisch für zwei.",
120,fresco,,,frisch,adjective,"Il pesce è freschissimo.","Der Fisch ist ganz frisch.",
121,caldo,,,heiß,adjective,"La minestra è ancora calda.","Die Suppe ist noch heiß.",
122,freddo,,,kalt,adjective,"La birra è ben fredda.","Das Bier ist schön kalt.",
123,salato,,,salzig,adjective,"Il prosciutto è un po' salato.","Der Schinken ist etwas salzig.",
124,piccante,,,scharf,adjective,"Questa salsa è troppo piccante.","Diese Soße ist zu scharf.",
125,crudo,,,roh,adjective,"Il pesce crudo mi piace molto.","Roher Fisch schmeckt mir sehr.",
126,cotto,,,gekocht,adjective,"Il prosciutto cotto è più dolce.","Der Kochschinken ist milder.",
127,dolce,,,süß,adjective,"Questo vino è troppo dolce.","Dieser Wein ist zu süß.",
128,amaro,,,bitter,adjective,"Il caffè senza zucchero è amaro.","Kaffee ohne Zucker ist bitter.",
129,delizioso,,,köstlich,adjective,"La cena era deliziosa.","Das Abendessen war köstlich.",
130,leggero,,,leicht (bekömmlich),adjective,"Stasera mangio qualcosa di leggero.","Heute Abend esse ich etwas Leichtes.",
131,pesante,,,schwer verdaulich,adjective,"Il fritto è troppo pesante.","Frittiertes ist zu schwer.",
